state_code,lg_code,ward_code,pu_code,code,name,ward,lga,latitude,longitude,cvr_pu_id
12,01,07,014,12/01/07/014,"UGBOSHI-AFE,  L.A. P/S",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.40034448,6.05971557,34158
12,01,07,015,12/01/07/015,"OGUGU, EDEMINA P/S.",SOMORIKA / OGBE / SASARO / ONUMU / ESHAWA / OGUGU IGBOSHI-AFE / IGBOSHI - ELE / AIYEGUNLE,AKOKO EDO,7.38469767,6.10876797,34159
12,01,08,001,12/01/08/001,"ENWAN, IMIEZUA P/S I",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.27585633,6.12919903,34160
12,01,08,002,12/01/08/002,"ENWAN,  IMIEZUA P/S II",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.27553393,6.12948758,34161
12,01,08,003,12/01/08/003,"ENWAN,  ENWAN P/S",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.27895370,6.13750053,34162
12,01,08,004,12/01/08/004,"ENWAN,  EKPARI MARKET SQ.",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.28242594,6.13735875,34163
12,01,08,005,12/01/08/005,"ENWAN,  IMIEGESAKOR T. SQ.",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.28000722,6.13948858,34164
12,01,08,006,12/01/08/006,"ENWAN, ESHEKARI T. SQ I",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.28129979,6.13737473,34165
12,01,08,007,12/01/08/007,"ENWAN,  ESHEKARI T. SQ II",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.28086659,6.13754548,34166
12,01,08,008,12/01/08/008,"ATTE, MATERNITY CENTRE",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.21232797,6.22954262,34167
12,01,08,009,12/01/08/009,"ATTE,  IRHOFO P/S, ATTE",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.21066290,6.23316291,34168
12,01,08,010,12/01/08/010,"ATTE,  NR. BAPTIST CHURCH",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.19640401,6.24955233,34169
12,01,08,011,12/01/08/011,"IKPESHI, OKHUEROMOH P/S I",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.14539725,6.18144755,34170
12,01,08,012,12/01/08/012,IKPESHI OKHUEROMOH P/S II,ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.14569257,6.18166947,34171
12,01,08,013,12/01/08/013,"EGBIGERE, NR. CHIEF ALIU'S HOUSE",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.21476921,6.18057884,34172
12,01,08,014,12/01/08/014,"EGBIGERE, NR. CATHOLIC CHURCH",ENWAN/ATTE/IKPESHI/EGBIGELE,AKOKO EDO,7.21630204,6.17883375,34173
12,01,09,001,12/01/09/001,"UNEME -  NEKHUA, COURT HALL I",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.34418247,6.08319841,34174
12,01,09,002,12/01/09/002,"UNEME- NEKHUA,  COURT HALL II",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.34304923,6.08165829,34175
12,01,09,003,12/01/09/003,"AIYETORO, OPP. CMS CHURCH",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.32345280,6.09158271,34176
12,01,09,004,12/01/09/004,"AKPAMA,  OPP CMS CHURCH",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.34319490,6.14223458,34177
12,01,09,005,12/01/09/005,"EKPEDO, OGUN P/, S EKPEDO",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.41794108,6.16753252,34178
12,01,09,006,12/01/09/006,"EKPEDO,  BY DISPENSARY I",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.41781990,6.17160732,34179
12,01,09,007,12/01/09/007,"EKPEDO, BY  DISPENSARY II",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.41860706,6.17340329,34180
12,01,09,008,12/01/09/008,"EKPEDO,  IMIAVA STREET",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.41739115,6.17364691,34181
12,01,09,009,12/01/09/009,"UNEME-OSU, OSU P/S I",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.35726261,6.23239616,34182
12,01,09,010,12/01/09/010,"UNEME-OSU, OSU  P/S II",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.35731500,6.23236739,34183
12,01,09,011,12/01/09/011,"UNEME-OSU, OSU  P/S III",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.35763231,6.23221665,34184
12,01,09,012,12/01/09/012,"UNEME-ERHUNRUN, IGBODE P/S I",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.28285531,6.25612355,34185
12,01,09,013,12/01/09/013,"UNEME-ERHUNRUN, IGBODE  P/S II",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.28294377,6.25575881,34186
12,01,09,014,12/01/09/014,"UNEME-URHUNRUN,  BY C.A. JOHN'S FRONTAGE I",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.28458634,6.25227441,34187
12,01,09,015,12/01/09/015,"UNEME-ERHUNRUN , BY C.A JOHN'S FRONTAGE II",UNEME-NEKHUA/AKPAMA/ AIYETORO/ EKPEDO/ ERHURUN/ UNEME OSU,AKOKO EDO,7.28306713,6.25235206,34188
12,01,10,001,12/01/10/001,"OSOSO, OLD MATERNITY",OSOSO,AKOKO EDO,7.40580364,6.24522667,34189
12,01,10,002,12/01/10/002,"OSOSO,  OLD ANNI",OSOSO,AKOKO EDO,7.41694062,6.26005521,34190
12,01,10,003,12/01/10/003,"OSOSO, EGBETUA P/S",OSOSO,AKOKO EDO,7.37645911,6.26806453,34191
12,01,10,004,12/01/10/004,"OSOSO,  BY OGEDENGBE'S COMP",OSOSO,AKOKO EDO,7.38216972,6.26395169,34192
12,01,10,005,12/01/10/005,"OSOSO,  OKHE PFRIMARY SCHOOL I",OSOSO,AKOKO EDO,7.41302510,6.25694781,34193
12,01,10,006,12/01/10/006,"OSOSO, OKHE PRIMARY SCHOOL II",OSOSO,AKOKO EDO,7.41325138,6.25665313,34194
12,01,10,007,12/01/10/007,"OSOSO,  IKPENA HALL",OSOSO,AKOKO EDO,7.41868026,6.25767943,34195
12,01,10,008,12/01/10/008,"OSOSO,  UDUEGEDE HALL",OSOSO,AKOKO EDO,7.41801512,6.25910103,34196
