state,lg,ward,state_code,lg_code,ward_code,pu_code,code,location,ward_des,lg_des
EDO,01,06,12,01,06,003,12/01/06/003,"OKPE, PALACE SQUARE I",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,004,12/01/06/004,"OKPE, PALACE SQUARE II",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,005,12/01/06/005,"OKPE, MATERNITY CENTRE",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,006,12/01/06/006,"OKPE,  AJAMA PRIMARY SCHOOL",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,007,12/01/06/007,"OKPE, AJAMA  P.S. I",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,008,12/01/06/008,"OKPE,  OLOMA P.S. II",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,009,12/01/06/009,"OKPE,  OYONBUNI HALL",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,010,12/01/06/010,"OKPE,  AIYETEJU OKPE",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,011,12/01/06/011,"OKPE,  OGBALISHE P.S.",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,012,12/01/06/012,"ANYARAN, ANYARA PS.",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,013,12/01/06/013,"IJAJAH, HEALTH CENTRE",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,014,12/01/06/014,"IKAKUMOH, IKAKUMOH P.S. I",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,015,12/01/06/015,"IKAKUMOH,  IKAKMOH P.S II",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,016,12/01/06/016,"ARAROMI PRY SCH II, ANYARAN",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,017,12/01/06/017,"OPEN SPACE, IKAKUMOH PALACE SQUARE",Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,018,12/01/06/018,OPEN SPACE OPPOSITE POLICE POST,Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,06,12,01,06,000,12/01/06/000,12/01/06/000,Oloma/ Okpe/ Ijaja/ Kakuma/ Anyara,Akoko Edo
EDO,01,07,12,01,07,001,12/01/07/001,"SOMORIKA, PUBLIC FORUM",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,002,12/01/07/002,"SOMORIKA, EKPERE",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,003,12/01/07/003,ESHAWA PUBLIC SQUARE,Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,004,12/01/07/004,"ONUMU, NR. ANG. CHURCH",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,005,12/01/07/005,"OGBE, APIASA PRIMARY S CHOOL    I",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,006,12/01/07/006,"OGBE, APIASA  PRIMARY SCHOOL  II",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,007,12/01/07/007,"SASARO, MATERNITY CENTRE",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,008,12/01/07/008,"AIYEGUNLE, BY CHIEF ALIU'S COMP I",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,009,12/01/07/009,AIYEGUNLE  BY CHIEF ALIU'S COMP II,Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,010,12/01/07/010,"UGBOSHI-ELE,  BY ELUKA'S COMP",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,011,12/01/07/011,"UGBOSHI-ELE,  OPPOSITE SAMSONS COMP",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,012,12/01/07/012,"UGBOSHI-AFE, BY KARKET SQUARE I",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,013,12/01/07/013,UGBOSHI-AFE  BY MARKET SQUARE II,Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,014,12/01/07/014,"UGBOSHI-AFE,  L.A. P/S",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,015,12/01/07/015,"OGUGU, EDEMINA P/S.",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,016,12/01/07/016,"USOMO PRY SCH, SOMORIKA",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,017,12/01/07/017,"L.E.A PRY SCH., SOMORIKA",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,018,12/01/07/018,OPEN SPACE BY EGBABURA,Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,019,12/01/07/019,"OPEN SPACE BY TOWN HALL, SASARO.",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,020,12/01/07/020,"OPEN SPACE BY DISPENSARY, AIYEGULE.",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,021,12/01/07/021,"OPEN SPACE -AIYEGUNLE, AME-DAUDU",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,022,12/01/07/022,OPEN SPACE BY UBIANEGBA,Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
EDO,01,07,12,01,07,023,12/01/07/023,"OGUGU SECONDARY SCHOOL, OGUGU.",Somorika / Ogbe / Sasaro / Onumu / Eshawa / Ogugu Igboshi-afe / Igboshi - Ele / Aiyegunle,Akoko Edo
